,checkingstatus1,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign,Actual,Predicted,Probability,Correct
3,0,-0.2345482553044173,0,9,-0.0320341414937731,0,3,0.052280634896496,2,0,-1.6476460038751053,1,-0.3917005305786531,0,1,-0.7187454693270836,2,-0.4364357804719845,1,0,0,1,0.6821,0
4,1,0.5275218882839423,4,4,-0.250607168904443,2,2,0.9421637820708983,2,0,-0.7472929962930807,1,-1.1164427669774335,2,1,1.045047093438766,1,-0.4364357804719845,0,0,1,0,0.2897,0
8,1,-0.2345482553044173,2,0,1.1491584518419706,0,3,0.052280634896496,2,0,0.1530600112889441,0,-0.6634788692281958,2,0,-0.7187454693270836,1,-0.4364357804719845,0,0,0,1,0.6216,0
11,0,-0.742595017696657,4,0,0.6188194452650541,0,4,0.052280634896496,2,1,1.053413018870969,1,0.6954128240195177,2,0,1.045047093438766,2,-0.4364357804719845,1,0,1,0,0.4064,0
13,3,0.5275218882839423,2,0,-0.2318937247768172,0,2,0.052280634896496,1,0,0.1530600112889441,0,-1.2976283260771286,2,0,-0.7187454693270836,2,-0.4364357804719845,0,0,1,0,0.4199,0
16,1,-0.4038971761018305,4,0,-0.7539988159375784,0,0,-0.8376025122779064,2,0,0.1530600112889441,2,2.960232312765706,2,2,2.8088396562046154,0,-0.4364357804719845,1,0,0,1,0.6038,0
22,3,-0.742595017696657,4,9,-0.3359404741264169,0,0,0.9421637820708983,2,0,-0.7472929962930807,2,0.6048200444696701,1,1,1.045047093438766,3,-0.4364357804719845,1,0,1,0,0.2576,0
24,1,-0.2345482553044173,4,4,-0.521952108755018,0,4,0.052280634896496,1,2,1.053413018870969,0,1.1483767217687555,0,0,1.045047093438766,1,-0.4364357804719845,1,0,0,1,0.5825,0
25,1,-0.2345482553044173,2,6,0.25540436030656,0,0,-0.8376025122779064,1,0,1.053413018870969,2,2.8696395332158597,2,1,-0.7187454693270836,2,-0.4364357804719845,1,0,0,1,0.6959,0
35,0,0.2734985070878224,2,4,-0.3015077369315854,0,4,0.9421637820708983,2,0,1.053413018870969,0,2.5978611945663164,0,0,-0.7187454693270836,1,-0.4364357804719845,0,0,0,1,0.882,0
36,0,0.2734985070878224,2,3,0.3665622184246575,0,2,0.9421637820708983,2,0,1.053413018870969,1,-0.6634788692281958,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.8516,0
39,0,1.289592031872302,2,2,4.741016917698477,0,0,-0.8376025122779064,0,1,0.1530600112889441,2,0.6954128240195177,2,1,-0.7187454693270836,3,-0.4364357804719845,0,0,0,1,0.8855,0
49,1,-0.742595017696657,2,4,-0.6383497312288507,4,2,-0.8376025122779064,3,0,-1.6476460038751053,0,-0.9352572078777384,2,1,-0.7187454693270836,2,-0.4364357804719845,1,0,1,0,0.2384,0
55,0,-0.2345482553044173,2,1,1.6173688239151698,4,4,-1.727485659452309,2,0,1.053413018870969,1,1.4201550604182982,2,2,-0.7187454693270836,2,2.29128784747792,1,0,1,0,0.386,0
60,2,-0.9966183988927768,2,4,-0.9149344354351608,0,2,0.052280634896496,1,0,-0.7472929962930807,0,-0.6634788692281958,2,1,-0.7187454693270836,1,-0.4364357804719845,0,0,1,0,0.3315,0
62,0,0.7815452694800622,4,1,1.1218368234156368,1,3,-1.727485659452309,3,0,1.053413018870969,2,-1.025849987427586,2,0,1.045047093438766,2,-0.4364357804719845,0,0,0,1,0.5176,0
64,3,-0.742595017696657,2,0,-0.6750280817189974,2,2,-0.8376025122779064,1,0,-0.7472929962930807,1,-0.8446644283278909,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0,1,0,0.1148,0
